CONTINENT	REGION	COUNTRY	CAN_PROV
Asia	Southern Asia	Afghanistan	N/A
Europe	Northern Europe	Åland	N/A
Europe	Southern Europe	Albania	N/A
Africa	Northern Africa	Algeria	N/A
Oceania	Polynesia	American Samoa	N/A
Europe	Southern Europe	Andorra	N/A
Africa	Middle Africa	Angola	N/A
Americas	Caribbean	Anguilla	N/A
Antarctica	Antarctica	Antarctica	N/A
Americas	Caribbean	Antigua and Barbuda	N/A
Americas	South America	Argentina	N/A
Asia	Western Asia	Armenia	N/A
Americas	Caribbean	Aruba	N/A
Oceania	Australia and New Zealand	Australia	N/A
Europe	Western Europe	Austria	N/A
Asia	Western Asia	Azerbaijan	N/A
Americas	Caribbean	The Bahamas	N/A
Asia	Western Asia	Bahrain	N/A
Asia	Southern Asia	Bangladesh	N/A
Americas	Caribbean	Barbados	N/A
Europe	Eastern Europe	Belarus	N/A
Europe	Western Europe	Belgium	N/A
Americas	Central America	Belize	N/A
Africa	Western Africa	Benin	N/A
Americas	Northern America	Bermuda	N/A
Asia	Southern Asia	Bhutan	N/A
Americas	South America	Bolivia	N/A
Americas	Caribbean	Bonaire, Sint Eustatius and Saba	N/A
Europe	Southern Europe	Bosnia and Herzegovina	N/A
Africa	Southern Africa	Botswana	N/A
Americas	Caribbean	Bouvet Island	N/A
Americas	South America	Brazil	N/A
Antarctica	Antarctica	British Antarctic Territory	N/A
Africa	Eastern Africa	British Indian Ocean Territory	N/A
Americas	Caribbean	British Virgin Islands	N/A
Asia	South-eastern Asia	Brunei	N/A
Europe	Eastern Europe	Bulgaria	N/A
Africa	Western Africa	Burkina Faso	N/A
Africa	Eastern Africa	Burundi	N/A
Africa	Western Africa	Cabo Verde	N/A
Asia	South-eastern Asia	Cambodia	N/A
Africa	Middle Africa	Cameroon	N/A
Americas	Northern America	Canada	Alberta
Americas	Northern America	Canada	British Columbia
Americas	Northern America	Canada	Manitoba
Americas	Northern America	Canada	New Brunswick
Americas	Northern America	Canada	Newfoundland and Labrador
Americas	Northern America	Canada	Northwest Territories
Americas	Northern America	Canada	Nova Scotia
